id	X	Y	building_type	tab_ease_building_net_floor_area	tab_ease_building_build_year	tab_ease_building_mod_year	Annual thermal e demand in kWh	Annual electr. E demand in kWh	Usable pv roof area in m2	Number of apartments	Total number of occupants	Number of floors	Height of floors	with ahu	residential layout	neighbour buildings	attic	cellar	dormer	construction type	method_3_type	method_4_type	
10000	1	2	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10001	1	3	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10002	1	4	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10003	1	5	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10004	1	6	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10005	1	7	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10006	3	2	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10007	3	3	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10008	3	4	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10009	3	5	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10010	3	6	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10011	3	7	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10012	5	2	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10013	5	3	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10014	5	4	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10015	5	5	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10016	5	6	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10017	5	7	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10018	7	2	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10019	7	3	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10020	7	4	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10021	7	5	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10022	7	6	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10023	7	7	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10024	1	0	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10025	3	0	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10026	5	0	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10027	7	0	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10028	1	9	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10029	3	9	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10030	5	9	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
10031	7	9	0	300	1955		15000	10000	50	1	5	2			0	0	3		0				
