id	X	Y	building_type	tab_ease_building_net_floor_area	tab_ease_building_build_year	tab_ease_building_mod_year	Annual thermal e demand in kWh	Annual electr. E demand in kWh	Usable pv roof area in m2	Number of apartments	Total number of occupants	Number of floors	Height of floors	with ahu	residential layout	neighbour buildings	attic	cellar	dormer	construction type	method_3_type	method_4_type
1	-20	130	0	100	1980		15000	2500	30	1	2											
2	-10	70	0	150	1980		22500	4000	30	1	5											
3	-10	50	0	125	1980		18750	3200	30	1	4											
4	10	70	0	100	1980		15000	1700	30	1	2											
5	10	50	0	150	1980		22500	3800	30	1	5											
6	50	70	0	125	1980		56250	10500	30	4	16											
7	50	50	0	100	1980		45000	5700	30	4	12											
8	30	90	0	150	1980		22500	4500	30	1	5											
9	20	30	0	125	1980		18750	3000	30	1	4											
10	50	30	0	100	1980		45000	6000	30	4	8											
11	50	10	0	150	1980		67500	9600	30	4	15											
12	40	-10	0	125	1980		18750	3000	30	1	4											
